DB;VDBC;;VDBC M1;;;;;;;;;;VDBC M2;;VDBC M3;;VDBC M4;;VDBC M5;
;;;1NN;;2NN;;3NN;;4NN;;5NN;;;;;;;;;
;95;1.3038;90;3.3615;99;1.9235;100;3.2094;112;3.937;109;4.0373;1047;286.93;96;3.7815;74;3.5355;51;2.0736
;;;;;;;;;;;;;;;;;;;;
Yeast;MAUC;;;;;;;;;;;;;;;;;;;
;0.6792;0.0179;0.7998;0.0253;0.7008;0.0319;0.6648;0.0232;0.6912;0.0146;0.6665;0.0268;0.7018;0.0364;0.6888;0.0642;0.7;0.0283;;
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;873;11.6748;706;6.9065;909;10.3537;975;9.8641;1053;10.4738;1082;14.5499;2327;38.0197;1131;12.9306;669;7.3348;;
;;;;;;;;;;;;;;;;;;;;
Zoo;MAUC;;;;;;;;;;;;;;;;;;;
;0.9738;0.0464;0.7021;0.0499;0.7598;0.0923;0.8248;0.0906;0.8806;0.0417;0.8448;0.0595;0.9191;0.0296;0.9833;0.016;0.981;0.0181;0.9905;0.013
;Number of Prototypes;;;;;;;;;;;;;;;;;;;
;33;2.3875;34;1.5811;46;4.8477;50;4.7749;59;6.14;60;3.8987;78;0.8367;28;2.5884;27;2.2804;12;1.3416
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
